Récolte des eaux,Cassé,Piste cyclable,3,3,59,Avaloir ,Grille manquante,Grille manquante,1003,2051,3034
Récolte des eaux,Bouché,Pont ou tunnel,3,5,105,Avaloir ,Bouché,Bouché,1003,2050,3033
Récolte des eaux,Cassé,Pont ou tunnel,3,5,106,Avaloir ,Grille manquante,Grille manquante,1003,2051,3034
Récolte des eaux,Bouché,Trottoir,3,1,8,Avaloir ,Bouché,Bouché,1003,2050,3033
Récolte des eaux,Cassé,Trottoir,3,1,9,Avaloir ,Grille manquante,Grille manquante,1003,2051,3034
Revêtement,Trou,Chaussée,1,2,26,Revêtement , Nid de poule, Nid de poule,1001,2060,3026
Revêtement,Revêtement dégradé,Chaussée,1,2,27,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Affaissement,Chaussée,1,2,28,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Trou,Espace vert,1,4,73,Revêtement , Nid de poule, Nid de poule,1001,2060,3026
Revêtement,Revêtement dégradé,Espace vert,1,4,74,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Affaissement,Espace vert,1,4,75,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Trou,Piste cyclable,1,3,51,Revêtement , Nid de poule, Nid de poule,1001,2060,3026
Revêtement,Affaissement,Piste cyclable,1,3,53,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Revêtement dégradé,Piste cyclable,1,3,52,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Trou,Pont ou tunnel,1,5,98,Revêtement , Nid de poule, Nid de poule,1001,2060,3026
Revêtement,Revêtement dégradé,Pont ou tunnel,1,5,99,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Affaissement,Pont ou tunnel,1,5,100,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Trou,Trottoir,1,1,1,Revêtement , Nid de poule, Nid de poule,1001,2060,3026
Revêtement,Revêtement dégradé,Trottoir,1,1,2,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Revêtement,Affaissement,Trottoir,1,1,3,Revêtement , Revêtement dégradé, Revêtement dégradé,1001,2061,3027
Signalisation,Panneau abimé,Chaussée,5,2,38,Signalisation , Panneau, Panneau,1005,2070,3038
Signalisation,Panneau illisible,Chaussée,5,2,39,Signalisation , Panneau, Panneau,1005,2070,3038
Signalisation,Feu défectueux,Chaussée,5,2,41,Signalisation , Feu tricolore, Feu tricolore,1005,2071,3041
Signalisation,Marquage effacé,Chaussée,5,2,40,Revêtement, Marquage, Marquage,1001,2072,3040
Signalisation,Panneau illisible,Espace vert,5,4,86,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Marquage effacé,Espace vert,5,4,87,Revêtement, Marquage, Marquage,1001,2072,3040
Signalisation,Feu défectueux,Espace vert,5,4,88,Signalisation, Feu tricolore, Feu tricolore,1005,2071,3041
Signalisation,Panneau abimé,Espace vert,5,4,85,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Panneau abimé,Piste cyclable,5,3,63,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Panneau illisible,Piste cyclable,5,3,64,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Feu défectueux,Piste cyclable,5,3,66,Signalisation, Feu tricolore, Feu tricolore,1005,2071,3041
Signalisation,Marquage effacé,Piste cyclable,5,3,65,Revêtement, Marquage, Marquage,1001,2072,3040
Signalisation,Feu défectueux,Pont ou tunnel,5,5,110,Signalisation, Feu tricolore, Feu tricolore,1005,2071,3041
Signalisation,Panneau illisible,Pont ou tunnel,5,5,108,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Panneau abimé,Pont ou tunnel,5,5,107,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Marquage effacé,Pont ou tunnel,5,5,109,Revêtement, Marquage, Marquage,1001,2072,3040
Signalisation,Panneau abimé,Trottoir,5,1,13,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Panneau illisible,Trottoir,5,1,14,Signalisation, Panneau, Panneau,1005,2070,3038
Signalisation,Feu défectueux,Trottoir,5,1,16,Signalisation, Feu tricolore, Feu tricolore,1005,2071,3041
Signalisation,Marquage effacé,Trottoir,5,1,15,Revêtement, Marquage, Marquage,1001,2072,3040
